,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
186,1995396,T20140002406,2014-02-05T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113700,267194,B,M,62,4,Motorcyclists,1,Collision with vehicle,2,SOUTH GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
187,1995397,T20140011800,2014-06-07T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,185000,271482,A,M,19,2,Drivers,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5594,Declared Road,,,1,2014
188,1995398,T20140017547,2014-08-24T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,163500,274635,A,F,18,2,Drivers,4,Collision with a fixed object,1,SOUTH GIPPSLAND,Country,N,Non Intersection,2180,Declared Road,,,1,2014
191,1995401,T20160018316,2016-08-21T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,153000,307337,A,M,56,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,N,Non Intersection,5181,Declared Road,,,1,2016
193,1995403,T20170016433,2017-08-25T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,10000,320814,A,M,21,2,Drivers,4,Collision with a fixed object,1,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,2,2017
194,1995404,T20160017663,2016-08-12T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,142800,44913,B,M,37,4,Motorcyclists,1,Collision with vehicle,2,BRIMBANK,Melbourne - West,I,Intersection,5493,Declared Road,,,1,2016
195,1995405,T20170008897,2017-05-05T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,132000,38477,A,M,49,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,I,Intersection,2720,Declared Road,,,1,2017
196,1995406,T20180020441,2018-10-31T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,144500,339257,D,M,42,2,Drivers,1,Collision with vehicle,4,HUME,Melbourne - North West,N,Non Intersection,5500,Declared Road,,,1,2018
200,1995410,T20170021306,2017-11-08T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161500,323464,B,M,33,4,Motorcyclists,1,Collision with vehicle,2,WHITEHORSE,Melbourne - Outer East,I,Intersection,9999,Non Declared Road,,,1,2017
201,1995411,T20140004872,2014-03-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,112000,267412,A,M,33,2,Drivers,4,Collision with a fixed object,1,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
204,1995414,T20180021109,2018-11-11T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161500,339178,A,M,29,4,Motorcyclists,6,Vehicle overturned (no collision),1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5770,Declared Road,,,1,2018
208,1995418,T20170021756,2017-11-15T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,93000,323997,A,M,84,2,Drivers,1,Collision with vehicle,2,MITCHELL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
211,1995421,T20140001681,2014-01-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,14500,266212,A,M,30,2,Drivers,6,Vehicle overturned (no collision),1,MANSFIELD,Country,N,Non Intersection,5501,Declared Road,,,1,2014
212,1995422,T20160018131,2016-08-18T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,143700,234221,B,F,56,2,Drivers,1,Collision with vehicle,2,YARRIAMBIACK,Country,I,Intersection,5201,Declared Road,,,1,2016
216,1995426,T20140002082,2014-01-31T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,173000,266208,A,F,33,2,Drivers,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,2300,Declared Road,,,1,2014
219,1995429,T20140002149,2014-02-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,154000,266370,A,M,36,4,Motorcyclists,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,N,Non Intersection,5750,Declared Road,,,1,2014
220,1995430,T20140002317,2014-02-04T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,143000,266403,A,F,66,2,Drivers,4,Collision with a fixed object,1,BRIMBANK,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2014
221,1995431,T20140002319,2014-02-04T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,103000,266680,A,M,27,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,N,Non Intersection,5037,Declared Road,,,1,2014
222,1995432,T20140024647,2014-11-28T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,20000,287087,A,M,39,2,Drivers,5,Collision with some other object,1,BASS COAST,Country,N,Non Intersection,4025,Declared Road,,,1,2014
224,1995434,T20140002781,2014-02-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113000,266441,A,M,48,2,Drivers,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2014
227,1995437,T20140000489,2014-01-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,222300,103665,A,M,52,2,Drivers,1,Collision with vehicle,2,FRANKSTON,Metro,N,Non Intersection,2660,Declared Road,,,1,2014
228,1995438,T20140006204,2014-03-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,54500,271706,A,M,25,2,Drivers,4,Collision with a fixed object,2,BAYSIDE,Melbourne - Inner South,N,Non Intersection,5844,Declared Road,,,1,2014
229,1995439,T20170009588,2017-05-16T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,63000,289137,A,M,32,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,I,Intersection,9999,Non Declared Road,,,1,2017
232,1995442,T20140001132,2014-01-18T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,63000,267709,A,M,35,2,Drivers,4,Collision with a fixed object,1,MAROONDAH,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2014
233,1995443,T20140001199,2014-01-19T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,150400,265853,A,M,22,4,Motorcyclists,1,Collision with vehicle,3,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2014
234,1995444,T20150021258,2015-10-14T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161900,61095,A,M,72,2,Drivers,1,Collision with vehicle,2,MELTON,Melbourne - North West,I,Intersection,5052,Declared Road,,,1,2015
235,1995445,T20150026735,2015-12-23T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,175000,297593,A,M,32,4,Motorcyclists,1,Collision with vehicle,2,PORT PHILLIP,Melbourne - Inner,N,Non Intersection,9999,Non Declared Road,,,1,2015
236,1995446,T20170002884,2017-02-13T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,153600,42593,B,M,33,4,Motorcyclists,1,Collision with vehicle,2,DANDENONG,Melbourne - South East,I,Intersection,5170,Declared Road,,,1,2017
238,1995448,T20140010294,2014-05-18T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,204500,271055,A,M,31,2,Drivers,4,Collision with a fixed object,2,MORNINGTON PENINSULA,Metro,I,Intersection,4941,Declared Road,,,2,2014
241,1995451,T20180001788,2018-01-29T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,144000,326552,A,F,39,4,Motorcyclists,1,Collision with vehicle,2,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2018
243,1995453,T20160018308,2016-08-21T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,103000,307336,A,M,38,2,Drivers,4,Collision with a fixed object,1,WEST WIMMERA,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
244,1995454,T20160023068,2016-10-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,220500,315651,A,M,15,2,Drivers,4,Collision with a fixed object,1,BRIMBANK,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2016
246,1995456,T20180015807,2018-08-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,103500,246247,A,F,86,2,Drivers,1,Collision with vehicle,2,SOUTH GIPPSLAND,Country,I,Intersection,2580,Declared Road,,,2,2018
247,1995457,T20170015139,2017-08-05T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,154000,321142,A,M,28,2,Drivers,4,Collision with a fixed object,1,LATROBE,Country,N,Non Intersection,5921,Declared Road,,,1,2017
252,1995462,T20140005115,2014-03-12T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,75500,58925,A,M,61,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,5982,Declared Road,,,1,2014
253,1995463,T20140005550,2014-03-18T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,43000,269760,A,M,61,2,Drivers,3,Struck animal,2,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2014
255,1995465,T20160008952,2016-04-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,133200,302536,A,M,21,4,Motorcyclists,1,Collision with vehicle,3,NILLUMBIK,Melbourne - North East,N,Non Intersection,5811,Declared Road,,,1,2016
256,1995466,T20140005946,2014-03-22T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,125700,267708,B,M,22,4,Motorcyclists,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,I,Intersection,9999,Non Declared Road,,,1,2014
257,1995467,T20140006217,2014-03-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,90000,271027,A,M,24,4,Motorcyclists,1,Collision with vehicle,2,CENTRAL GOLDFIELDS,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
262,1995472,T20140004201,2014-02-28T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,85500,48626,B,M,37,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,I,Intersection,9999,Non Declared Road,,,4,2014
264,1995474,T20140006513,2014-03-29T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,173500,271056,A,F,38,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
266,1995476,T20140006635,2014-03-31T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,82000,29626,A,M,83,2,Drivers,1,Collision with vehicle,3,KNOX,Melbourne - Outer East,I,Intersection,2750,Declared Road,,,1,2014
267,1995477,T20140006661,2014-03-31T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,152000,268550,A,M,42,2,Drivers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
268,1995478,T20180020168,2018-10-27T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,52000,338226,A,M,25,2,Drivers,4,Collision with a fixed object,1,SOUTHERN GRAMPIANS,Country,N,Non Intersection,2670,Declared Road,,,1,2018
269,1995479,T20140006867,2014-04-02T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,143500,269206,A,M,53,2,Drivers,1,Collision with vehicle,2,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1,2014
271,1995481,T20140008478,2014-04-24T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,122500,267713,A,M,67,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,I,Intersection,5032,Declared Road,,,1,2014
274,1995484,T20160016146,2016-07-23T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,230700,307054,A,M,22,4,Motorcyclists,4,Collision with a fixed object,1,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2016
275,1995485,T20140009095,2014-05-02T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,221500,42380,A,M,22,4,Motorcyclists,1,Collision with vehicle,2,KINGSTON,Melbourne - South East,I,Intersection,5803,Declared Road,,,1,2014
277,1995487,T20140009640,2014-05-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,81500,271029,A,M,23,2,Drivers,4,Collision with a fixed object,1,MOIRA,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
279,1995489,T20170017433,2017-09-10T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,125000,321353,C,M,32,2,Drivers,1,Collision with vehicle,3,CASEY,Melbourne - South East,N,Non Intersection,2510,Declared Road,,,1,2017
282,1995492,T20140010370,2014-05-19T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,163000,259842,A,M,43,2,Drivers,1,Collision with vehicle,2,HORSHAM,Country,I,Intersection,9999,Non Declared Road,,,1,2014
288,1995498,T20140006968,2014-04-04T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,75600,29464,A,M,30,4,Motorcyclists,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,I,Intersection,5005,Declared Road,,,1,2014
291,1995501,T20140007271,2014-04-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,151000,271028,B,F,58,2,Drivers,1,Collision with vehicle,2,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2014
292,1995502,T20140007295,2014-04-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,192000,270198,B,M,69,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,2300,Declared Road,,,1,2014
294,1995504,T20140007618,2014-04-12T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,114500,47528,A,M,87,2,Drivers,1,Collision with vehicle,2,CASEY,Melbourne - South East,I,Intersection,5164,Declared Road,,,1,2014
295,1995505,T20140007710,2014-04-13T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,142000,269759,B,F,29,4,Motorcyclists,1,Collision with vehicle,2,ALPINE,Country,N,Non Intersection,5470,Declared Road,,,1,2014
296,1995506,T20140007850,2014-04-15T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,143000,270382,A,M,34,2,Drivers,1,Collision with vehicle,2,MORELAND,Melbourne - North West,N,Non Intersection,2900,Declared Road,,,1,2014
298,1995508,T20140003015,2014-02-13T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,211300,266681,A,M,65,2,Drivers,1,Collision with vehicle,2,MELTON,Melbourne - North West,N,Non Intersection,5052,Declared Road,,,1,2014
303,1995513,T20160003826,2016-02-20T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,213000,304306,A,M,53,2,Drivers,5,Collision with some other object,1,SOUTH GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
311,1995521,T20140004998,2014-03-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,145400,278775,A,F,79,2,Drivers,1,Collision with vehicle,2,MOUNT ALEXANDER,Bendigo,I,Intersection,2530,Declared Road,,,2,2014
312,1995522,T20140012632,2014-06-19T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,162500,272363,A,M,74,2,Drivers,4,Collision with a fixed object,1,BASS COAST,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
320,1995530,T20140013188,2014-06-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,135500,273789,C,M,60,2,Drivers,1,Collision with vehicle,4,MOIRA,Country,N,Non Intersection,5401,Declared Road,,,2,2014
322,1995532,T20140013485,2014-06-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,160500,273792,A,M,50,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,2500,Declared Road,,,1,2014
323,1995533,T20140013494,2014-07-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,11100,272364,A,M,26,2,Drivers,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2014
324,1995534,T20140014216,2014-07-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,141500,273984,A,M,73,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
325,1995535,T20140014382,2014-07-12T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,123700,272918,A,M,59,4,Motorcyclists,4,Collision with a fixed object,1,HEPBURN,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
326,1995536,T20140014697,2014-07-17T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,20300,273129,A,M,25,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,5605,Declared Road,,,1,2014
327,1995537,T20140014837,2014-07-18T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,173000,72744,B,F,79,2,Drivers,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,9999,Non Declared Road,,,1,2014
328,1995538,T20140014899,2014-07-19T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,154500,273220,B,M,27,4,Motorcyclists,1,Collision with vehicle,2,MORELAND,Melbourne - North West,I,Intersection,5500,Declared Road,,,1,2014
330,1995540,T20140015197,2014-07-23T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171400,274136,C,M,45,2,Drivers,1,Collision with vehicle,3,HUME,Melbourne - North West,N,Non Intersection,2810,Declared Road,,,2,2014
336,1995546,T20140015852,2014-08-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,142600,43418,B,M,79,2,Drivers,1,Collision with vehicle,2,FRANKSTON,Metro,I,Intersection,9999,Non Declared Road,,,1,2014
337,1995547,T20140016171,2014-08-05T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,114000,274133,A,M,78,2,Drivers,1,Collision with vehicle,3,SWAN HILL,Country,N,Non Intersection,2570,Declared Road,,,1,2014
341,1995551,T20140016810,2014-08-13T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,90000,274441,A,F,65,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,2570,Declared Road,,,1,2014
